,sentence_id,word_len,word
0,1,3,The
1,1,9,startling
2,1,5,death
3,1,2,of
4,1,7,Heather
5,1,4,Rose
6,1,4,Post
7,1,8,Gardener
8,1,3,and
9,1,3,her
10,1,7,curious
11,1,6,return
12,3,2,By
13,3,5,Corey
14,3,7,"Messer
"
15,4,2,It
16,4,3,was
17,4,4,very
18,4,7,curious
19,4,2,to
20,4,3,see
21,4,7,Heather
22,4,4,Post
23,4,7,walking
24,4,5,about
25,5,10,Navigating
26,5,3,the
27,5,6,narrow
28,5,11,cobblestone
29,5,7,streets
30,5,2,of
31,5,3,the
32,5,4,town
33,5,4,with
34,5,13,uninterrupted
35,5,4,ease
36,6,3,The
37,6,7,reports
38,6,3,and
39,6,4,many
40,6,10,suspicious
41,6,6,rumors
42,6,2,of
43,6,3,her
44,6,5,death
45,6,3,had
46,6,4,been
47,6,6,widely
48,6,8,accepted
49,6,2,as
50,6,4,fact
51,7,3,Yet
52,7,4,here
53,7,2,on
54,7,4,that
55,7,8,aromatic
56,7,3,mid
57,7,8,summer’s
58,7,3,day
59,7,3,she
60,7,5,stood
61,7,7,smiling
62,7,6,basket
63,7,6,hooked
64,7,2,in
65,7,3,the
66,7,5,crook
67,7,2,of
68,7,3,her
69,7,4,"arm,"
70,7,5,white
71,7,5,dress
72,7,6,moving
73,7,4,like
74,7,1,a
75,7,5,cloud
76,7,6,around
77,7,3,her
78,7,4,legs
79,8,1,A
80,8,4,deep
81,8,7,crimson
82,8,4,silk
83,8,4,sash
84,8,4,tied
85,8,2,in
86,8,1,a
87,8,3,bow
88,8,6,around
89,8,3,her
90,8,4,neck
91,9,3,Its
92,9,5,tails
93,9,7,trailed
94,9,4,down
95,9,3,her
96,9,4,back
97,9,4,like
98,9,1,a
99,9,4,pair
100,9,2,of
101,9,6,folded
102,9,5,wings
103,10,3,The
104,10,8,children
105,10,4,took
106,10,2,no
107,10,6,notice
108,10,2,of
109,10,3,her
110,10,2,as
111,10,4,they
112,10,4,were
113,10,3,not
114,10,11,susceptible
115,10,2,to
116,10,3,old
117,10,5,wives
118,10,6,rumors
119,10,2,or
120,10,5,facts
121,10,4,from
122,10,3,the
123,10,6,mouths
124,10,2,of
125,10,3,men
126,11,4,They
127,11,7,skipped
128,11,3,and
129,11,6,played
130,11,2,as
131,11,3,she
132,11,8,strolled
133,11,4,down
134,11,3,the
135,11,6,street
136,11,2,to
137,11,3,the
138,11,9,merchants
139,11,6,square
140,21,3,Her
141,21,7,"father,"
142,21,7,Bernard
143,21,7,Abraham
144,21,5,"Post,"
145,21,3,had
146,21,4,once
147,21,4,been
148,21,1,a
149,21,5,great
150,21,9,scientist
151,21,2,on
152,21,3,the
153,21,4,cusp
