,word,count
0,cart,1
1,outcry,1
2,comes,1
3,Some,1
4,Gardener’s,1
5,pen,5
6,sights,1
7,Being,1
8,cries,1
9,rooftops,1
10,agony,2
11,assimilated,1
12,"lay,",1
13,retelling,1
14,carry,1
15,unrecorded,1
16,praise,1
17,Irish,1
18,foray,1
19,quelled,1
20,covers,1
21,spot,2
22,signified,1
23,fame,1
24,international,2
25,absurd,1
26,they,45
27,presenting,1
28,fibers,1
29,"know,",1
30,last,5
31,tied,3
32,basin,1
33,use,1
34,glitter,2
35,filled,3
36,ever,3
37,mute,1
38,she,109
39,icy,4
40,skinny,2
41,later,8
42,same,8
43,completed,1
44,tragic,1
45,coax,1
46,departed,2
47,whiter,1
48,exit,1
49,tutors,2
50,supply,1
51,possession,1
52,"Biology,",1
53,prove,4
54,any,9
55,than,12
56,"at,",1
57,ripped,1
58,intelligence,2
59,returned,6
60,"walls,",1
61,wholly,1
62,indicated,1
63,progeny,1
64,traces,1
65,"work,",1
66,discovering,1
67,hitched,1
68,"limp,",1
69,capillary,2
70,eyed,1
71,eventually,1
72,estate,3
73,searching,1
74,markings,1
75,"too,",1
76,offer,2
77,pay,3
78,ladder,1
79,routed,1
80,brining,1
81,raging,1
82,useless,1
83,oak,1
84,within,5
85,advance,1
86,leather,1
87,directly,2
88,stored,1
89,urgent,1
90,tools,1
91,fit,1
92,chilled,1
93,had,179
94,influence,1
95,by,24
96,audience,1
97,rational,1
98,condition,2
99,custom,1
100,slipped,1
101,latter,2
102,attempting,2
103,"adopted,",1
104,"years,",1
105,scholars,1
106,writer,1
107,scattered,1
108,rail,1
109,explosion,1
110,pens,1
111,Nothing,1
112,politics,2
113,guise,1
114,needed;,1
115,ease,1
116,animal,1
117,father,15
118,sheer,2
119,came,12
120,short,4
121,greeting,2
122,human,3
123,child,8
124,"entrapped,",1
125,her,235
126,Emmanuel,3
127,seemed,23
128,river,3
129,causing,1
130,crossed,1
131,apply,1
132,wrapped,3
133,courier,2
134,twine,2
135,names,1
136,being,6
137,existence,1
138,Post’s,2
139,birthmark,2
140,control,1
141,though,7
142,sin,1
143,afford,1
144,stiches,1
145,throat,2
146,cleaner,1
147,marry,1
148,waxy,1
149,could,31
150,anonymously,1
151,glistening,1
152,great,7
153,From,2
154,"action,",1
155,rats,1
156,as,135
157,"women,",1
158,out,20
159,documentation,1
160,call,1
161,degrees,1
162,gained,1
163,sprung,1
164,"things,",1
165,brightened,1
166,factor,1
167,research,8
168,pity,2
169,"died,",1
170,feeling,3
171,instructions,1
172,legs,2
173,locks,2
174,selfless,1
175,sometimes,1
176,snap,1
177,startling,1
178,"tea,",1
179,rang,1
180,tried,2
181,sounded,1
182,let,3
183,truly,1
184,application,1
185,drove,4
186,Shrieks,1
187,threw,1
188,His,3
189,rendered,1
190,Asking,1
191,knowing,2
192,drama,2
193,closed,2
194,reddish,1
195,woke,1
196,Uncle,1
197,with,60
198,trusted,2
199,take,2
200,morning,1
201,Once,2
202,coin,1
203,shadowed,1
204,attempt,1
205,surgeries,1
206,seat,2
207,After,5
208,cut,4
209,merchants,1
210,little,18
211,summer’s,1
212,aromatic,1
213,compared,1
214,having,6
215,wrists,1
216,orders,1
217,offering,3
218,uncertainty,1
219,doorway,1
220,delved,1
221,falling,1
222,locomotion,1
223,Moments,1
224,"stank,",1
225,task,1
226,so,22
227,"it,",4
228,nor,1
229,apologized,1
230,meet,2
231,husband,1
232,understand,1
233,-,4
234,Maximilian,1
235,town,3
236,unbecoming,1
237,"entered,",1
238,wooden,1
239,perplexed,1
240,marble,1
241,manor,3
242,Overflowing,1
243,advocate,1
244,streets,2
245,fast,2
246,edge,4
247,years,13
248,seeds,1
249,blackness,1
250,unsavory,1
251,learning,1
252,shock,3
253,twinge,1
254,remove,1
255,discovered,2
256,shapes,1
257,time,14
258,perched,1
259,struggling,1
260,familiar,2
261,barn,1
262,tested,1
263,linens,1
264,buried,1
265,terminated,1
266,evolution,1
267,neared,1
268,I,153
269,astonished,1
270,yearly,1
271,dirt,1
272,subsided,1
273,couples,1
274,passing,1
275,veritably,1
276,"whips,",1
277,Success,1
278,bed,2
279,own,24
280,filed,1
281,net,2
282,Forgiveness,1
283,believed,1
284,ideas,3
285,while,3
286,absorb,1
287,peered,2
288,sutures,1
289,magnificent,1
290,"seventeen,",1
291,curly,2
292,authorities,1
293,according,2
294,book,9
295,constable’s,1
296,brains,1
297,"were,",1
298,"movement,",1
299,Bound,1
300,ever-elusive,1
301,felt,6
302,"color,",2
303,meant,1
304,specific,2
305,watched,1
306,fill,1
307,contain,3
308,"which,",1
309,But,5
310,"weeks,",1
311,energy,2
312,nature,1
313,Had,2
314,countryside,2
315,blowing,1
316,may,2
317,happiness,1
318,accident,1
319,revered,1
320,whispered,1
321,concurred,1
322,Curious,2
323,their,37
324,considerably,1
